image,approach,vehicle_count_1min,volume_veh_per_hour,queue_length_veh,density_percent,avg_speed_kmh
frame_0352,RIGHT,0,0,0,0.0,60.0
frame_0036,LEFT,4,240,0,7.84250020980835,55.0
frame_0036,CENTER,2,120,0,5.760700225830078,55.0
frame_0036,RIGHT,1,60,0,4.895699977874756,55.0
frame_0147,LEFT,3,180,0,5.576300144195557,55.0
frame_0147,CENTER,6,360,0,8.282600402832031,55.0
frame_0147,RIGHT,0,0,0,0.0,60.0
frame_0310,LEFT,4,240,0,3.2441000938415527,55.0
frame_0310,CENTER,7,420,0,7.092400074005127,55.0
frame_0310,RIGHT,0,0,0,0.0,60.0
frame_0088,LEFT,3,180,0,3.8422999382019043,55.0
frame_0088,CENTER,3,180,0,10.69159984588623,45.0
frame_0088,RIGHT,0,0,0,0.0,60.0
frame_0015,LEFT,6,360,0,10.219900131225586,45.0
frame_0015,CENTER,2,120,0,5.363500118255615,55.0
frame_0015,RIGHT,0,0,0,0.0,60.0
frame_0372,LEFT,4,240,0,20.392099380493164,35.0
frame_0372,CENTER,4,240,0,5.275400161743164,55.0
frame_0372,RIGHT,0,0,0,0.0,60.0
frame_0224,LEFT,4,240,0,11.239299774169922,45.0
frame_0224,CENTER,5,300,0,3.3387999534606934,55.0
frame_0224,RIGHT,0,0,0,0.0,60.0
frame_0199,LEFT,4,240,0,8.977499961853027,55.0
frame_0199,CENTER,4,240,0,1.9074000120162964,55.0
frame_0199,RIGHT,0,0,0,0.0,60.0
frame_0244,LEFT,5,300,0,5.227399826049805,55.0
frame_0244,CENTER,5,300,0,4.11460018157959,55.0
frame_0244,RIGHT,0,0,0,0.0,60.0
frame_0398,LEFT,3,180,0,3.6719000339508057,55.0
frame_0398,CENTER,3,180,0,9.860799789428711,55.0
frame_0398,RIGHT,0,0,0,0.0,60.0
frame_0106,LEFT,3,180,0,13.958399772644043,45.0
frame_0106,CENTER,3,180,0,12.42710018157959,45.0
frame_0106,RIGHT,0,0,0,0.0,60.0
frame_0322,LEFT,5,300,0,5.991199970245361,55.0
frame_0322,CENTER,5,300,0,5.860799789428711,55.0
frame_0322,RIGHT,0,0,0,0.0,60.0
frame_0119,LEFT,3,180,0,0.9696000218391418,55.0
frame_0119,CENTER,6,360,0,9.85789966583252,55.0
frame_0119,RIGHT,0,0,0,0.0,60.0
frame_0234,LEFT,6,360,0,2.7657999992370605,55.0
frame_0234,CENTER,5,300,0,3.391900062561035,55.0
frame_0234,RIGHT,0,0,0,0.0,60.0
frame_0001,LEFT,5,300,0,4.7058000564575195,55.0
frame_0001,CENTER,3,180,0,5.679500102996826,55.0
frame_0001,RIGHT,0,0,0,0.0,60.0
